Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Portland Trail Blazers,0.45,0.37,0.49,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,2015
Los Angeles Clippers,0.465,0.364,0.513,0.692,8.8,33.3,42.0,22.8,8.6,5.6,13.0,21.3,104.5,2015
Cleveland Cavaliers,0.46,0.362,0.514,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3,2015
Washington Wizards,0.46,0.358,0.501,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1,2015
San Antonio Spurs,0.484,0.375,0.515,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,2015
Charlotte Hornets,0.439,0.362,0.479,0.79,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,103.4,2015
Atlanta Hawks,0.458,0.35,0.512,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,2015
Toronto Raptors,0.451,0.37,0.483,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,2015
New Orleans Pelicans,0.448,0.36,0.482,0.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7,2015
Minnesota Timberwolves,0.464,0.338,0.496,0.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4,2015
Dallas Mavericks,0.444,0.344,0.495,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,2015
Indiana Pacers,0.45,0.351,0.486,0.764,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2,2015
Orlando Magic,0.455,0.35,0.492,0.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1,2015
Detroit Pistons,0.439,0.345,0.48,0.668,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0,2015
Denver Nuggets,0.442,0.338,0.482,0.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9,2015
Chicago Bulls,0.441,0.371,0.464,0.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6,2015
Phoenix Suns,0.435,0.348,0.472,0.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9,2015
Miami Heat,0.47,0.336,0.508,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0,2015
Memphis Grizzlies,0.44,0.331,0.471,0.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1,2015
Milwaukee Bucks,0.467,0.345,0.495,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0,2015
Brooklyn Nets,0.453,0.352,0.481,0.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6,2015
New York Knicks,0.439,0.346,0.471,0.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4,2015
Utah Jazz,0.449,0.355,0.488,0.744,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7,2015
Philadelphia 76ers,0.431,0.339,0.476,0.694,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4,2015
Los Angeles Lakers,0.414,0.317,0.454,0.781,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3,2015
Golden State Warriors,0.495,0.383,0.557,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,2016
Houston Rockets,0.462,0.357,0.552,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,2016
Denver Nuggets,0.469,0.368,0.519,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,2016
